WAYBILL,Direccion_Destino,CITY,STATE,POSTAL_CODE,COUNTRY,DISTANCE_BILLED,Pure_Freight,Fuel_Cost,Team_D.15mILE,Total_Feight_Inv,Origen,CARRIER,FULL_Direccion_Destino,%Truck_used,WH_Address
1733898,KENMORE WA 98028-3517 US,KENMORE,WA,98028-3517,US,2112.88,2324.17,1098.7,0,3422.87,,LUNA,KENMORE WA 98028-3517 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733900,COLORADO SPRINGS CO 80917-1363 US,COLORADO SPRINGS,CO,80917-1363,US,766.9,843.59,299.09,115.04,1257.72,,LUNA,COLORADO SPRINGS CO 80917-1363 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733903,LAND O LAKES FL 34639-5110 US,LAND O LAKES,FL,34639-5110,US,1012.35,1113.58,394.81,151.85,1660.25,,LUNA,LAND O LAKES FL 34639-5110 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733904,AMERICAN FORK UT 84003-5135 US,AMERICAN FORK,UT,84003-5135,US,1245.4,1369.94,498.16,186.81,2054.91,,LUNA,AMERICAN FORK UT 84003-5135 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733905,LAWRENCE IN 46226-5218 US,LAWRENCE,IN,46226-5218,US,864.73,951.2,337.24,129.71,1418.15,,LUNA,LAWRENCE IN 46226-5218 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733908,BERKELEY CA 94704-1208 US,BERKELEY,CA,94704-1208,US,2743.86,3018.24,1646.31,411.58,5076.14,,LUNA,BERKELEY CA 94704-1208 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1734205,KANSAS CITY MO 64112 US,KANSAS CITY,MO,64112,US,533,586.3,207.87,0,794.17,,LUNA,KANSAS CITY MO 64112 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1738983,COON RAPIDS MN 55433-5856 US,COON RAPIDS,MN,55433-5856,US,954.8,1050.28,372.37,0,1422.65,,LUNA,COON RAPIDS MN 55433-5856 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1740324,ELK GROVE VILLAGE IL 60007-6604 US,ELK GROVE VILLAGE,IL,60007-6604,US,923.6,1015.96,360.2,0,1376.16,,LUNA,ELK GROVE VILLAGE IL 60007-6604 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1740356,PORTLAND OR 97219 US,PORTLAND,OR,97219,US,2041,2245.1,1040.91,306.15,3592.16,,LUNA,PORTLAND OR 97219 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
