SERIAL_NUMBER,OH_INV,ORDER_NUMBER,DESCRIPTION,SEGMENT1,NAME,TRANSACTION_ID,SHIPMENT_NUMBER,SCHEDULE_SHIP_DATE,SCHEDULE_SHIP_DATE,SCHEDULE_ARRIVAL_DATE,ADDRESSEE,CONFIRM_DATE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY,CREATION_DATE,Delivery ID,PRO#/Tracking#,TMS_REG
57-60570602,7/31/2021,6174444,SS84 Standardize Walk Up Catalog,6684MC7024,Rental Sourcing US,4868050544,98387620,7/30/2021 23:59,7/30/2021 23:59,8/5/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,8/2/2021 12:23,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,8/2/2021 12:24,98387620,#N/A,EMAIL
57-60571108,8/6/2021,6260698,6684 Optimize WU Dip,6684MC6998,Rental Sourcing US,4997352193,102574744,10/13/2021 23:59,10/13/2021 23:59,10/20/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,10/13/2021 22:20,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,10/13/2021 22:21,102574744,7795278,TMS
57-60571101,8/6/2021,6235679,6684 Optimize WU Dip,6684MC6998,Rental Sourcing US,4941233267,100967113,9/14/2021 23:59,9/14/2021 23:59,9/21/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,9/14/2021 23:33,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,9/14/2021 23:34,100967113,7754916,TMS
57-60576508,10/22/2021,6235697,SS84 Optimize Walk Up Catalog,6684MC7951,Rental Sourcing US,5023242785,103078603,10/27/2021 23:59,10/27/2021 23:59,11/3/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,10/28/2021 0:21,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,10/28/2021 0:22,103078603,7811024,TMS
57-60576509,10/22/2021,6236225,SS84 Optimize Walk Up Catalog,6684MC7951,Rental Sourcing US,5023243183,103078606,10/27/2021 23:59,10/27/2021 23:59,11/3/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,10/28/2021 0:22,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,10/28/2021 0:23,103078606,7811024,TMS
57-60576115,10/27/2021,6229458,SelfServ82 Interactive Teller,6682MC1906,Rental Sourcing US,5023241009,103085383,10/27/2021 23:59,10/27/2021 23:59,11/1/2021 23:59,ATMaaS SECURITY VAULT WORKS,10/28/2021 0:17,122 LAFAYETTE AVE,LAUREL,MD,20707-4512,US,10/28/2021 0:17,103085383,7811023,TMS
57-60579011,12/2/2021,62008318,6688 Optimize Dip,6688MC2197,Rental Sourcing US,5162892577,107903217,1/18/2022 23:59,1/18/2022 23:59,1/25/2022 23:59,ATMaaS SEACOAST NATIONAL BANK,1/18/2022 21:27,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,1/18/2022 21:28,107903217,7892938,TMS
57-58253916,1/6/2021,6167160,SelfServ84,6684MC6157,Standard US,4800046284,97083620,6/28/2021 23:59,6/28/2021 23:59,7/4/2021 23:59,BANK-TEC SOUTH,6/28/2021 21:49,4150 VIKING DR,BOSSIER CITY,LA,71111-7407,US,6/28/2021 21:50,97083620,22856754,TMS
57-58253907,1/6/2021,6139879,SelfServ84,6684MC6157,Standard US,4665109696,92018167,4/23/2021 23:59,4/23/2021 23:59,4/28/2021 23:59,SECURITY CORPORATION,4/23/2021 21:54,22791 HESLIP DR,NOVI,MI,48375,US,4/23/2021 21:55,92018167,22829219,TMS
57-58253212,1/6/2021,6129137,SelfServ84,6684MC6157,Standard US,4638382132,91416867,4/7/2021 23:59,4/7/2021 23:59,4/12/2021 23:59,MATT THOMPSON,4/7/2021 19:57,809 PARK AVENUE,MURFREESBORO,TN,37129,US,4/7/2021 19:57,91416867,22822411,TMS
